topic,qos,tagMode,deviceId,field,dataType,monitoring
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-01,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-02,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-03,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-04,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-05,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-06,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-07,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-08,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-09,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-10,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-11,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-12,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-13,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-14,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-15,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-16,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-17,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-18,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-19,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B1-20,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-01,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-02,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-03,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-04,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-05,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-06,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-07,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-08,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-09,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-10,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-11,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-12,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-13,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-14,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-15,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-16,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-17,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-18,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-19,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B2-20,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-01,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-02,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-03,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-04,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-05,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-06,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-07,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-08,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-09,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-10,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-11,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-12,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-13,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-14,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-15,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-16,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-17,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-18,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-19,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B3-20,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B4-01,raw_payload,STRING,true
ot/sensor/wiring/actual,1,raw,LDR-GJ-O1B4-02,raw_payload,STRING,true
