topic,qos,tagMode,deviceId,field,dataType,monitoring
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-01-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-01-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-01-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-02-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-02-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-02-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-03-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-03-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-03-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-04-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-04-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-04-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-05-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-05-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-05-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-06-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-06-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-06-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-07-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-07-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-07-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-08-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-08-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-08-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-09-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-09-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-09-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-10-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-10-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-10-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-11-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-11-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-11-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-12-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-12-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-12-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-13-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-13-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-13-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/artifact,1,raw,LDR-GJ-O1B1-14-REGISTERED_PCD,raw_payload,STRING,true
