topic,qos,tagMode,deviceId,field,dataType,monitoring
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-01-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-01-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-01-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-02-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-02-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-02-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-03-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-03-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-03-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-04-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-04-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-04-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-05-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-05-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-05-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-06-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-06-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-06-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-07-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-07-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-07-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-08-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-08-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-08-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-09-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-09-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-09-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-10-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-10-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-10-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-11-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-11-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay6/artifact,1,raw,LDR-GJ-A1B6-11-SEGMENTED_PCD,raw_payload,STRING,true
