topic,qos,tagMode,deviceId,field,dataType,monitoring
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-01-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-01-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-01-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-02-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-02-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-02-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-03-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-03-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-03-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-04-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-04-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-04-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-05-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-05-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay4/artifact,1,raw,LDR-GJ-O1B4-05-SEGMENTED_PCD,raw_payload,STRING,true
